Time (ms),Engine,Inferred Axioms,Ontology
1928,SWRL,38,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
1907,SWRL,38,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
1828,SWRL,38,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
1874,SWRL,38,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
1709,SWRL,38,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
1750,SWRL,38,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
2113,SWRL,38,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
1817,SWRL,38,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
1868,SWRL,38,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
1819,SWRL,38,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
15813,WSWRL,199226,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
16446,WSWRL,199226,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
16103,WSWRL,199226,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
16016,WSWRL,199226,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
16136,WSWRL,199226,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
16172,WSWRL,199226,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
16216,WSWRL,199226,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
16091,WSWRL,199226,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
16643,WSWRL,199226,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
16014,WSWRL,199226,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_1000.ttl
389,SWRL,7,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_100.ttl
400,SWRL,7,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_100.ttl
408,SWRL,7,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_100.ttl
384,SWRL,7,/home/guillemin/Documents/these/code/semantic_web/w-swrl/./evaluation_ontologies/ontology_100.ttl
